"","x"
"1","Live: Morning news, weather and traffic updates from WDSU https://t.co/vb94B3zQ9C"
"2","when I catch fire and watch over you like the sun<U+2600> https://t.co/BI1RJI57F7"
"3","@Gleeful321 @eorlins @kelleywentworth You can run a pole for ""Best Ice Cream,"" and no matter the results, strawberry will always be the best"
"4","she is so cute and pabin, she likes those two pilots and she is so great, love her"
"5","And then there was Social media. Now everyone shares the secret of success on it. Most of whom are themselves unsuccessful."
"6","RT @HilariousSwank: People like u always want back
The love they gave away
And people like me wanna believe u
When u say u've changed
#Vote…"
"7","RT @Kireyy_N: How do you enjoy sex with someone who's clearly not willing and would fight you the whole time? That's animalistic. Eish"
"8","RT @9GAG: *accidentally taps an ad and it opens the app store* https://t.co/AwjD93xSTv"
"9","RT @gittechlife: iPad Air 3 and iPhone 5se Rumoured March 18th Release https://t.co/qQgQtrU3nF https://t.co/PT4zxrUXbS"
"10","The magnetic combo of nudity and seaweed https://t.co/CPRSKIQuDI"
"11","RT @sakura_tuanct: Taemin's eyes once again sparkling and shimmering today, reflecting his beautiful heart. 
#taemin #<U+D0DC><U+BBFC> #<U+C0E4><U+C774><U+B2C8> #SHINee https…"
"12","RT @CharlieSloth: My man @DJwhookid tells me about when he met MJ and a record with MJ and @50Cent https://t.co/arvOzJXeRf https://t.co/QKv…"
"13","RT @baekhyundere: So i fell asleep in the car while thinking about chanbaek having sex and dreamt about it lmfao https://t.co/VdBU5gdY7j"
"14","@AJAY_XO have a great day dude and live ya life kid. much love for you trap."
"15","Have you ever wondered how one person got to the point where they are now? Check our latest issue and find out more: https://t.co/NAbzMSJA8m"
"16","Ohaneze refused to even meet PMB pre-election to forward their agenda and demands. 
Ohaneze now wants to meet PMB to forward their demands."
"17","RT @onherperiod: u deserve a nice boy who texts u back and buys u tacos and doesn't kiss other girls behind ur back and who makes u laugh a…"
"18","Yesterday we landed in DC, and by the end of today we'll be in Rwanda! https://t.co/vOedBV17n3"
"19","@sonikavaid hi Sonika !!!! You are awesome and so cool !!!!!! Ilysm !"
"20","Snapshot: Q. and A. With Tina Fey: Live From Kabul, It’s a Feminist Comedy https://t.co/37jeiWusOh"
"21","Write an academic essay where you show a clear relationship between cause and effect, with a topic chosen from... https://t.co/lSsMcoSW9U"
"22","RT @Barry_Roux: Keith Khoza's resignation a ""Breaking news"" as if he is fleeing the ANC and joining the DA or Cope?"
"23","RT @Adecco_CH_: What would you do and say as a CEO? Show us your #waytowork and become our #CEO1Month: https://t.co/dQPActud5A https://t.co…"
"24","alone at the store and i'm like ""pls don't come in, i suck at this"" lol"
"25","RT @normanisnachos: My whole TL is still heartbroken and it's been hours we're never gonna get over this Lexa meant a lot to so many people"
"26","If you don't download #FolkHopNRoll on iTunes, you hate Jesus, Momma, and delicious juice boxes. @judahandthelion https://t.co/bzfSRYxOzI"
"27","RT @imahmoudhoossam: And this would be us. http://t.co/BIPUsZnbr8"
"28","RT @markhoppus: foo fighters were going to break up but i called dave and was like come on man you don't want to do that and he said ok jus…"
"29","HAPPY BIRTHDAY TO MY NUMBER 1 BEAUTIFUL BAE!! I LEGIT LOVE YOU SOOOO MUCH WORDS CANT DESCRIBE YOURE SO AMAZING AND I WANNA MARRY U @Bryersxo"
"30","RT @Harry_Styles: Thanks to @TheAMAs for having us yesterday. And to everyone who voted, thank you so much. You are lovely. H"
"31","RT @buckspucks: Big Hockey Tonite and CBW is involved! Flyers Cup Q'finals vs Boyertown. See you at Hatfield 7:20pm @Buck_Nation https://t.…"
"32","#experimenting with my #MilkyWay shots. Zoomed in and out while doing a long exposure.… https://t.co/pDdN5pbrxj"
"33","Enjoying a slice of American chocolate cake and people watching from my room <ed><U+00A0><U+00BD><ed><U+00B8><U+009D>"
"34","RT @MAINEnatics_PAM: And she's dress up ready to meet her mom tomorrow @mainedcm #VoteMaineFPP  #KCA she is ready to give joy <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> https://t…"
"35","RT @praisefowowe: You need help and the first question that's asked is what's your religion #religion"
"36","RT @NotebookMsgs: keep your relationship private without keeping your partner a secret, there’s a difference between privacy and secrecy"
"37","My startup failed, and this is what it feels like… — Female Founders — Medium https://t.co/QSPbXSHoY4 #entrepreneurship #entrepreneur"
"38","RT @xporno100: If you like PORN <ed><U+00A0><U+00BD><ed><U+00B4><U+009E> And SEXY <U+2728> GIRLS <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> VISIT <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> https://t.co/ZYpZnfBUrr OR https://t.co/D7MAsZO1zh FOR <U+274C><U+274C><U+274C> https://t.co/BlIrJC…"
"39","Candice farting and Jeremy finding it cute has my entire loving soul."
"40","RT @CNN: The new ""Ghostbusters"" trailer is here, and it shows a brand new team taking on NYC ghouls https://t.co/a4A12pypbO https://t.co/rW…"
"41","RT @PaulTripp: There is one foundational need of every sinner who's ever lived, grace and it can only be found in the person and work of Je…"
"42","@MattressMase said I need to be classy and no longer tweet filth on the TL. Bout to delete these tweets and nudes guys."
"43","I hate dogs there evil and im scared if then XD https://t.co/rRf3qy2DPV"
"44","RT @Grace_ljw: the markson 'crash' and mark's laugh in the end &lt;3

GOT7 1st CONCERT ""FLY IN SEOUL"" Invitation Video https://t.co/bvCWqfw3X1…"
"45","Tickets purchased for Dimitri Vegas &amp; Like Mike <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+008C> Just need to book a flight home and that's me sorteeeed! <ed><U+00A0><U+00BD><ed><U+00B2><U+0083><ed><U+00A0><U+00BD><ed><U+00B8><U+009D>"
"46","RT @FootballPIayers: when you walk into the class the first day and you see all your homies <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B2><U+00AF>  https://t.co/HfRGchLRXh"
